newcol,Variable,Description,Values,Notes
business_is_closed,Business is Closed ,Whether a claim is undetermined because the employer's business has closed ,"Character: X if true, missing if false ",See above
other_1,Other_1 ,Whether a claim is undetermined for another reason ,"Character: X if true, missing if false ",See above
claim_undetermined_other_description,CLAIM UNDETERMINED OTHER DESCRIPTION ,"The stated reason for being undetermined if ""other"" ",Character ,
verified_claim_amt,VERIFIED CLAIM AMT ,The total amount claimed after verification by DOLI ,Character (but easily converted to numeric) ,
case_close_reclose_date,CASE CLOSE/RECLOSE DATE ,Date case was officially closed ,Character ,
employer_contested_valid_determination,Employer Contested Valid Determination ,Whether the employer contested a claim that was found to be valid ,"Character: X if true, missing if false ",
1st_response_investigation,1st Response Investigation ,Whether only a 1st response was conducted ,"Character: X if true, missing if false ","DOLI conducts a quick ""1st response"" investiagtion first to determine if a formal investigation is warranted"
formal_investigation,Formal Investigation ,Whether a formal investigation was conducted ,"Character: X if true, missing if false ",
request_settlement_conference,Request Settlement Conference ,,All missing ,No such requests in the data
request_informal_fact_finding,Request Informal Fact Finding ,,All missing ,No such requests in the data
request_formal_fact_finding,Request Formal Fact Finding ,,All missing ,No such requests in the data
wage_order,Wage Order ,Whether a legal order is given for the employer to pay lost wages ,"Character: X if true, missing if false ","See page 10, G(1): (http://townhall.virginia.gov/L/GetFile.cfm?File=C:%5CTownHall%5Cdocroot%5CGuidanceDocs%5C181%5CGDoc_DOLI_1780_v5.pdf)"
informal_conference,Informal Conference ,,All missing ,No such actions in the data
civil_action_for_wages_penalties,Civil Action for Wages/Penalties ,,All missing ,No such actions in the data
other_2,Other_2 ,,All missing ,No such actions in the data
other_disposition_description,OTHER DISPOSITION DESCRIPTION ,,All missing ,
case_closed_for_the_representative,CASE CLOSED for the REPRESENTATIVE ,Date the DOLI labor law representative ended the investigation ,Character ,
judgment,JUDGMENT ,,All missing ,
dismissed,DISMISSED ,,All missing ,
non_suited,NON-SUITED ,,All missing ,
judgment_1,JUDGMENT_1 ,,All missing ,
dismissed_1,DISMISSED_1 ,,All missing ,
non_suited_1,NON-SUITED_1 ,,All missing ,
civcourtdte_for_wages_penalty,CIVCOURTDTE FOR WAGES/PENALTY ,,All missing ,
tot_amt,TOT AMT ,Total amount recovered for the complainant ,Character (but easily converted to numeric) ,
wage_amt,WAGE AMT ,Amount recovered in lost wages for the complainant ,Character (but easily converted to numeric) ,
interest_amt,INTEREST AMT ,Amount recovered in interest on lost wages for the complainant ,Character (but easily converted to numeric) ,
atty_fees,ATTY FEES ,Amount recovered in reimbursed attorney fees for the complainant ,Character (but easily converted to numeric) ,
date_for_wages,DATE FOR WAGES ,Date wages were returned to the complainant ,Character ,
wages_appealed,WAGES APPEALED ,,All missing ,
wages_appeal_circuit_court_date,WAGES APPEAL CIRCUIT COURT DATE ,,All missing ,
assessed,ASSESSED ,Whether the DOLI investigation concludes the employer owes a civil monetary penalty ,"Character: X if true, missing if false ","A civil monentary penalty (CMP) is a fine an employer must pay as punishment for wage-theft, in addition to paying back wages and fees"
amt,AMT ,Amount of the CMP owed by the employer ,Character (but easily converted to numeric) ,See above
atty_fees_1,ATTY FEES_1 ,Attorney fees owed by the employer as part of the CMP ,Character (but easily converted to numeric) ,See above
assessed_date,ASSESSED DATE ,Date CMP totals were assessed ,Character ,See above
total_cmp_amt,TOTAL CMP AMT ,CMP + attorney fees ,Character (but easily converted to numeric) ,See above
cmp_appealed,CMP APPEALED ,,All missing ,See above
cmp_appeal_circuit_court_date,CMP APPEAL CIRCUIT COURT DATE ,,All missing ,See above
fines_and_court_costs,FINES & COURT COSTS ,Other fines and court costs associated with the CMP ,Character (but easily converted to numeric) ,See above
total_wages,TOTAL WAGES ,Total wages that the DOLI says have been actually collected ,Character (but easily converted to numeric) ,"We're not sure what to make of these ""collection"" variables at this point. After a legal order for an employer to repay wages, the case is referred to a collection agency or to an attorney in charge of collection. These values indicate the amount that has been collected. It includes amounts that have been legally ordered, and amounts that were settled upon in civil court or outside DOLI jurisdiction."
total_interest_amt,TOTAL INTEREST AMT ,Total interest collected ,Character (but easily converted to numeric) ,See above
tot_wages_and_interest,TOT WAGES & INTEREST ,Wages + interest collected ,Character (but easily converted to numeric) ,See above
garnished_amt,GARNISHED AMT ,,All $0 ,
judgment_wage_amt,JUDGMENT WAGE AMT ,We think these are additional fees for repeat offenders ,Character (but easily converted to numeric) ,
judgement_penalty_amt,JUDGEMENT PENALTY AMT ,We think these are additional fees for repeat offenders ,Character (but easily converted to numeric) ,
docketed_sent_for_collection_date,DOCKETED/SENT FOR COLLECTION DATE ,,All missing ,
action_taken,ACTION TAKEN ,,All missing ,
court_date,COURT DATE ,,All missing ,
convicted_disposition,CONVICTED - DISPOSITION ,,All missing ,
dismissed_disposition,DISMISSED - DISPOSITION ,,All missing ,
nol_prossed,NOL Prossed ,,All missing ,
confinement,CONFINEMENT ,,All missing ,
suspension,SUSPENSION ,,All missing ,
both_candf,BOTH - C&F ,,All missing ,
judgment_2,JUDGMENT_2 ,,All missing ,
dismissed_2,DISMISSED_2 ,,All missing ,
non_suited_2,NON-SUITED_2 ,,All missing ,
judgment_3,JUDGMENT_3 ,,All missing ,
dismissed_3,DISMISSED_3 ,,All missing ,
non_suited_3,NON-SUITED_3 ,,All missing ,
