,claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration,CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES,City,Region
10,LLVA59761,ACQYRO,ROANOKE,VA,24018,male,FALSE,FALSE,1351.9,2016-06-17,FALSE,FALSE,0,2016-06-17,FALSE,FALSE,FALSE,0,0,0,LLVA59761,ACQYRO,ROANOKE,VA,24018,,,,,ROANOKE,West Central
11,LLVA59764,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,,FALSE,FALSE,4655,2016-06-23,FALSE,FALSE,0,2016-06-29,FALSE,FALSE,FALSE,0,0,6,LLVA59764,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,,,,,ROANOKE,West Central
12,LLVA59801,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017,male,FALSE,FALSE,1218,2016-06-27,TRUE,FALSE,1315.44,2016-09-09,FALSE,TRUE,FALSE,0,0,74,LLVA59801,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017,,,,,ROANOKE,West Central
13,LLVA59837,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,,FALSE,FALSE,4655,2016-07-13,FALSE,FALSE,0,2016-07-13,FALSE,FALSE,FALSE,0,0,0,LLVA59837,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,,,,,ROANOKE,West Central
14,LLVA59851,APPTECH SOLUTIONS,ROANOKE,VA,24017,male,FALSE,FALSE,11555.64,2016-07-14,FALSE,FALSE,0,2016-07-14,FALSE,FALSE,FALSE,0,0,0,LLVA59851,APPTECH SOLUTIONS,ROANOKE,VA,24017,,,,,ROANOKE,West Central
15,LLVA59892,SENSITIVE CLEANING SERVICES,ROANOKE,VA,24017,male,FALSE,FALSE,1585,2016-07-22,FALSE,FALSE,0,2016-07-22,FALSE,FALSE,FALSE,0,0,0,LLVA59892,SENSITIVE CLEANING SERVICES,ROANOKE,VA,24017,,,,,ROANOKE,West Central
16,LLVA59942,PAYLESS SHOESOURCE,ROANOKE,VA,24014,female,FALSE,FALSE,14.19,2016-08-04,TRUE,FALSE,14.19,2016-08-16,TRUE,FALSE,FALSE,0,0,12,LLVA59942,PAYLESS SHOESOURCE,ROANOKE,VA,24014,,,,,ROANOKE,West Central
17,LLVA59955,VA $1.95 CLEANERS,ROANOKE,VA,24014,female,FALSE,FALSE,161.5,2016-08-08,TRUE,FALSE,190,2016-08-30,FALSE,TRUE,FALSE,0,0,22,LLVA59955,VA $1.95 CLEANERS,ROANOKE,VA,24014,,,,,ROANOKE,West Central
18,LLVA59992,CAFE ASIA,ROANOKE,VA,24012,female,FALSE,FALSE,172.63,2016-08-15,FALSE,FALSE,0,2016-08-15,FALSE,FALSE,FALSE,0,0,0,LLVA59992,CAFE ASIA,ROANOKE,VA,24012,,,,,ROANOKE,West Central
19,LLVA60172,THE GREAT 611 STEAK CO,ROANOKE,VA,24014,male,FALSE,FALSE,1750,2016-10-18,FALSE,FALSE,0,2016-10-18,FALSE,FALSE,FALSE,0,0,0,LLVA60172,THE GREAT 611 STEAK CO,ROANOKE,VA,24014,,,,,ROANOKE,West Central
20,LLVA60180,THE GREAT 611 STEAK CO,ROANOKE,VA,24011,male,FALSE,FALSE,975,2016-10-18,TRUE,FALSE,1463,2016-11-28,FALSE,TRUE,FALSE,0,0,41,LLVA60180,THE GREAT 611 STEAK CO,ROANOKE,VA,24011,,,,,ROANOKE,West Central
21,LLVA60240,THE COUNTRY BEAR DAY SCHOOL,ROANOKE,VA,24018,female,FALSE,FALSE,0,2016-10-31,FALSE,FALSE,0,2016-10-31,FALSE,FALSE,FALSE,0,0,0,LLVA60240,THE COUNTRY BEAR DAY SCHOOL,ROANOKE,VA,24018,,,,,ROANOKE,West Central
22,LLVA60251,MAGIC CITY FORD,ROANOKE,VA,24016,male,FALSE,FALSE,2000,2016-11-02,FALSE,FALSE,0,2016-11-03,FALSE,FALSE,FALSE,0,0,1,LLVA60251,MAGIC CITY FORD,ROANOKE,VA,24016,,,,,ROANOKE,West Central
23,LLVA60331,LIBERTY TAX SERVICE,ROANOKE,VA,24012,female,FALSE,FALSE,161.5,2016-11-15,FALSE,FALSE,0,2016-11-15,FALSE,FALSE,FALSE,0,0,0,LLVA60331,LIBERTY TAX SERVICE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
24,LLVA60695,FLANARY'S PUB,ROANOKE,VA,24011,male,FALSE,FALSE,10000,2017-02-16,FALSE,FALSE,0,2017-02-16,FALSE,FALSE,FALSE,0,0,0,LLVA60695,FLANARY'S PUB,ROANOKE,VA,24011,,,,,ROANOKE,West Central
25,LLVA60839,B & B MACHINE & TOOL INC,ROANOKE,VA,24012,female,FALSE,FALSE,989.75,2017-03-29,FALSE,FALSE,1012.88,2017-05-15,FALSE,FALSE,FALSE,0,0,47,LLVA60839,B & B MACHINE & TOOL INC,ROANOKE,VA,24012,,,,,ROANOKE,West Central
26,LLVA60862,CRYSTAL CLEAR INC,ROANOKE,VA,24018,male,FALSE,FALSE,677.21,2017-04-04,FALSE,FALSE,0,2017-04-04,FALSE,FALSE,FALSE,0,0,0,LLVA60862,CRYSTAL CLEAR INC,ROANOKE,VA,24018,,,,,ROANOKE,West Central
27,LLVA60872,"JAMES BENTON, JR.",ROANOKE,VA,24012,female,FALSE,FALSE,989.75,2017-03-31,FALSE,FALSE,0,2017-05-15,FALSE,FALSE,FALSE,0,0,45,LLVA60872,"JAMES BENTON, JR.",ROANOKE,VA,24012,,,,,ROANOKE,West Central
28,LLVA60919,"RUFUS GLOVER, EARL GLOVER, JANES GLOVER, GEORGE GLOVER",ROANOKE,VA,24017,male,FALSE,FALSE,0,2017-04-14,FALSE,FALSE,0,2017-04-14,FALSE,FALSE,FALSE,0,0,0,LLVA60919,"RUFUS GLOVER, EARL GLOVER, JANES GLOVER, GEORGE GLOVER",ROANOKE,VA,24017,,,,,ROANOKE,West Central
29,LLVA60988,METRO!,ROANOKE,VA,24011,male,FALSE,FALSE,700,2017-05-05,FALSE,FALSE,548.54,2017-05-09,FALSE,FALSE,FALSE,0,0,4,LLVA60988,METRO!,ROANOKE,VA,24011,,,,,ROANOKE,West Central
30,LLVA61002,ANDREW SCHLOSSER,ROANOKE,VA,24011,male,FALSE,FALSE,700,2017-05-05,FALSE,FALSE,0,2017-05-09,FALSE,FALSE,FALSE,0,0,4,LLVA61002,ANDREW SCHLOSSER,ROANOKE,VA,24011,,,,,ROANOKE,West Central
31,LLVA61039,WIRELESS ZONE,ROANOKE,VA,24012,male,FALSE,FALSE,588,2017-05-22,FALSE,FALSE,0,2017-05-30,FALSE,FALSE,FALSE,0,0,8,LLVA61039,WIRELESS ZONE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
32,LLVA61115,SAUNDERS HOME HEALTH,ROANOKE,VA,24018,female,FALSE,FALSE,1369.33,2017-06-13,FALSE,FALSE,0,2017-06-20,FALSE,FALSE,FALSE,0,0,7,LLVA61115,SAUNDERS HOME HEALTH,ROANOKE,VA,24018,,,,,ROANOKE,West Central
33,LLVA61143,S & J CAFE ON FRANKLIN,ROANOKE,VA,24011,female,FALSE,FALSE,352,2017-06-15,FALSE,FALSE,0,2017-06-15,FALSE,FALSE,FALSE,0,0,0,LLVA61143,S & J CAFE ON FRANKLIN,ROANOKE,VA,24011,,,,,ROANOKE,West Central
34,LLVA61217,WIRELESS ZONE,ROANOKE,VA,24012,male,FALSE,FALSE,588,2017-06-28,FALSE,FALSE,480.82,2017-08-30,FALSE,FALSE,FALSE,0,0,63,LLVA61217,WIRELESS ZONE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
35,LLVA61221,CREATIVE KIDS LEARNING CENTER,ROANOKE,VA,24012,female,FALSE,FALSE,1064,2017-06-29,FALSE,FALSE,0,2017-06-29,FALSE,FALSE,FALSE,0,0,0,LLVA61221,CREATIVE KIDS LEARNING CENTER,ROANOKE,VA,24012,,,,,ROANOKE,West Central
36,LLVA61223,AAC AUTO SERVICE LLC,ROANOKE,VA,24016,male,FALSE,FALSE,650,2017-07-07,FALSE,FALSE,0,2017-07-07,FALSE,FALSE,FALSE,0,0,0,LLVA61223,AAC AUTO SERVICE LLC,ROANOKE,VA,24016,,,,,ROANOKE,West Central
37,LLVA61363,SECURITAS,ROANOKE,VA,24018,male,FALSE,FALSE,504,2017-08-01,FALSE,FALSE,0,2017-08-18,FALSE,FALSE,FALSE,0,0,17,LLVA61363,SECURITAS,ROANOKE,VA,24018,,,,,ROANOKE,West Central
38,LLVA61364,LUGAR LAW,ROANOKE,VA,24011,female,FALSE,FALSE,300,2017-08-01,FALSE,FALSE,0,2017-08-01,FALSE,FALSE,FALSE,0,0,0,LLVA61364,LUGAR LAW,ROANOKE,VA,24011,,,,,ROANOKE,West Central
39,LLVA61470,FLEETMASTER EXPRESS,ROANOKE,VA,24012,male,FALSE,FALSE,1130,2017-08-23,FALSE,FALSE,0,2017-08-23,FALSE,FALSE,FALSE,0,0,0,LLVA61470,FLEETMASTER EXPRESS,ROANOKE,VA,24012,,,,,ROANOKE,West Central
40,LLVA61661,PC LAND ROANOKE,ROANOKE,VA,24018,male,FALSE,FALSE,868.68,2017-10-12,FALSE,FALSE,0,2017-10-12,FALSE,FALSE,FALSE,0,0,0,LLVA61661,PC LAND ROANOKE,ROANOKE,VA,24018,,,,,ROANOKE,West Central
41,LLVA61717,AMERICAN JANITORIAL SERVICE,ROANOKE,VA,24018,female,FALSE,FALSE,460,2017-10-25,FALSE,FALSE,0,2017-12-11,FALSE,FALSE,FALSE,0,0,47,LLVA61717,AMERICAN JANITORIAL SERVICE,ROANOKE,VA,24018,,,,,ROANOKE,West Central
42,LLVA61772,KINGSTON INN,ROANOKE,VA,24019,female,FALSE,FALSE,9570,2017-11-01,FALSE,FALSE,0,2017-11-01,FALSE,FALSE,FALSE,0,0,0,LLVA61772,KINGSTON INN,ROANOKE,VA,24019,,,,,ROANOKE,West Central
43,LLVA61774,JACQUELINE HUDSON,ROANOKE,VA,24018,female,FALSE,FALSE,280,2017-11-01,FALSE,FALSE,0,2017-12-11,FALSE,FALSE,FALSE,0,0,40,LLVA61774,JACQUELINE HUDSON,ROANOKE,VA,24018,,,,,ROANOKE,West Central
44,LLVA61777,THE WILDFLOUR MARKET AND BAKERY,ROANOKE,VA,24016,male,FALSE,FALSE,380,2017-11-07,FALSE,FALSE,0,2017-11-27,FALSE,FALSE,FALSE,0,0,20,LLVA61777,THE WILDFLOUR MARKET AND BAKERY,ROANOKE,VA,24016,,,,,ROANOKE,West Central
45,LLVA61857,"CHRISTOPHER DEAN EAST D.B.A. EAST MENTAL HEALTH SERVICES, LLC",ROANOKE,VA,24018,male,FALSE,FALSE,666.4,2017-11-27,FALSE,FALSE,0,2017-11-30,FALSE,FALSE,FALSE,0,0,3,LLVA61857,"CHRISTOPHER DEAN EAST D.B.A. EAST MENTAL HEALTH SERVICES, LLC",ROANOKE,VA,24018,,,,,ROANOKE,West Central
46,LLVA61858,RISING SON TRANSPORT LLC,ROANOKE,VA,23017,male,FALSE,FALSE,0,2017-11-20,FALSE,FALSE,0,2017-11-20,FALSE,FALSE,FALSE,0,0,0,LLVA61858,RISING SON TRANSPORT LLC,ROANOKE,VA,23017,,,,,ROANOKE,West Central
47,LLVA61992,"CHRISTOPHER DEAN EAST D.B.A. EAST MENTAL HEALTH SERVICES, LLC",ROANOKE,VA,24018,male,FALSE,FALSE,666.4,2017-12-18,FALSE,FALSE,610,2018-01-03,FALSE,FALSE,FALSE,0,0,16,LLVA61992,"CHRISTOPHER DEAN EAST D.B.A. EAST MENTAL HEALTH SERVICES, LLC",ROANOKE,VA,24018,,,,,ROANOKE,West Central
48,LLVA62021,CHRISTOPHER DEAN EAST,ROANOKE,VA,24018,male,FALSE,FALSE,761.6,2017-12-22,FALSE,FALSE,0,2018-01-03,FALSE,FALSE,FALSE,0,0,12,LLVA62021,CHRISTOPHER DEAN EAST,ROANOKE,VA,24018,,,,,ROANOKE,West Central
49,LLVA62103,FIVE BELOW,ROANOKE,VA,24017,female,FALSE,FALSE,0,2018-01-23,FALSE,FALSE,0,2018-01-23,FALSE,FALSE,FALSE,0,0,0,LLVA62103,FIVE BELOW,ROANOKE,VA,24017,,,,,ROANOKE,West Central
50,LLVA62203,PACKAGING WORKS,ROANOKE,VA,24018,female,FALSE,FALSE,4928.01,2018-02-28,FALSE,FALSE,0,2018-03-13,FALSE,FALSE,FALSE,0,0,13,LLVA62203,PACKAGING WORKS,ROANOKE,VA,24018,,,,,ROANOKE,West Central
51,LLVA62204,"MURRAY JOINER, MD",ROANOKE,VA,24018,female,FALSE,FALSE,3500,2018-02-28,FALSE,FALSE,2725.08,2018-04-30,FALSE,FALSE,FALSE,0,0,61,LLVA62204,"MURRAY JOINER, MD",ROANOKE,VA,24018,,,,,ROANOKE,West Central
52,LLVA62279,CAFE ASIA 2,ROANOKE,VA,24018,male,FALSE,FALSE,290,2018-03-14,FALSE,FALSE,359.23,2018-04-04,FALSE,FALSE,FALSE,0,0,21,LLVA62279,CAFE ASIA 2,ROANOKE,VA,24018,,,,,ROANOKE,West Central
53,LLVA62296,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,female,FALSE,FALSE,0,2018-03-14,FALSE,FALSE,0,2018-03-14,FALSE,FALSE,FALSE,0,0,0,LLVA62296,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
54,LLVA62355,NCGCARE,ROANOKE,VA,24018,male,FALSE,FALSE,738.1,2018-03-29,FALSE,FALSE,0,2018-04-02,FALSE,FALSE,FALSE,0,0,4,LLVA62355,NCGCARE,ROANOKE,VA,24018,,,,,ROANOKE,West Central
55,LLVA62384,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,female,FALSE,FALSE,3000,2018-03-28,FALSE,FALSE,0,2018-05-03,FALSE,FALSE,FALSE,0,0,36,LLVA62384,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
56,LLVA62481,ANGELLES PLACE CHILDCARE,ROANOKE,VA,24017,,FALSE,FALSE,222.01,2018-05-02,FALSE,FALSE,636.74,2018-05-25,FALSE,FALSE,FALSE,0,0,23,LLVA62481,ANGELLES PLACE CHILDCARE,ROANOKE,VA,24017,,,,,ROANOKE,West Central
57,LLVA62488,"SAJI ENTERPRISES, INC. AND ITS SUCCESSORS",ROANOKE,VA,24017,female,FALSE,FALSE,60,2018-05-07,TRUE,FALSE,60,2018-11-16,FALSE,FALSE,TRUE,80,60,193,LLVA62488,"SAJI ENTERPRISES, INC. AND ITS SUCCESSORS",ROANOKE,VA,24017,,,,,ROANOKE,West Central
58,LLVA62794,DYNAX AMERICAN CORPORATION,ROANOKE,VA,24019,female,FALSE,FALSE,386.17,2018-07-26,FALSE,FALSE,0,2018-08-17,FALSE,FALSE,FALSE,0,0,22,LLVA62794,DYNAX AMERICAN CORPORATION,ROANOKE,VA,24019,,,,,ROANOKE,West Central
59,LLVA62821,NCG CARE/NATIONAL COUNSELING GROUP,ROANOKE,VA,24018,male,FALSE,FALSE,0,2018-07-25,FALSE,FALSE,0,2018-07-25,FALSE,FALSE,FALSE,0,0,0,LLVA62821,NCG CARE/NATIONAL COUNSELING GROUP,ROANOKE,VA,24018,,,,,ROANOKE,West Central
60,LLVA62882,EARTHFARE,ROANOKE,VA,24014,male,FALSE,FALSE,5850,2018-08-02,FALSE,FALSE,0,2018-08-02,FALSE,FALSE,FALSE,0,0,0,LLVA62882,EARTHFARE,ROANOKE,VA,24014,,,,,ROANOKE,West Central
61,LLVA62952,PURE SPA,ROANOKE,VA,24018,female,FALSE,FALSE,0,2018-08-15,FALSE,FALSE,0,2018-08-15,FALSE,FALSE,FALSE,0,0,0,LLVA62952,PURE SPA,ROANOKE,VA,24018,,,,,ROANOKE,West Central
62,LLVA62956,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,female,FALSE,FALSE,3000,2018-09-17,FALSE,FALSE,0,2018-11-05,FALSE,FALSE,FALSE,0,0,49,LLVA62956,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,,,,,ROANOKE,West Central
63,LLVA62963,SHISHKA MEDITERRANEAN GRILL,ROANOKE,VA,24011,male,FALSE,FALSE,252,2018-09-17,FALSE,FALSE,0,2018-10-02,FALSE,FALSE,FALSE,0,0,15,LLVA62963,SHISHKA MEDITERRANEAN GRILL,ROANOKE,VA,24011,,,,,ROANOKE,West Central
64,LLVA63065,ACQUISITION TITLE,ROANOKE,VA,24018,female,FALSE,FALSE,1600,2018-10-10,FALSE,FALSE,1299.32,2018-10-15,FALSE,FALSE,FALSE,0,0,5,LLVA63065,ACQUISITION TITLE,ROANOKE,VA,24018,,,,,ROANOKE,West Central
65,LLVA63114,AMERITEK VENTURES INC,ROANOKE,VA,24012,male,FALSE,FALSE,40000,2018-09-21,FALSE,FALSE,0,2018-09-21,FALSE,FALSE,FALSE,0,0,0,LLVA63114,AMERITEK VENTURES INC,ROANOKE,VA,24012,,,,,ROANOKE,West Central
66,LLVA63115,JB PLUMBING,ROANOKE,VA,24014,male,FALSE,FALSE,520,2018-10-26,FALSE,FALSE,0,2018-12-20,FALSE,FALSE,FALSE,0,0,55,LLVA63115,JB PLUMBING,ROANOKE,VA,24014,,,,,ROANOKE,West Central
67,LLVA63300,CLEAN MASTERS JANITOR & MAID SERVICE,ROANOKE,VA,24017,male,FALSE,FALSE,780,2018-11-26,FALSE,FALSE,780,2019-03-29,FALSE,FALSE,FALSE,0,0,123,LLVA63300,CLEAN MASTERS JANITOR & MAID SERVICE,ROANOKE,VA,24017,,,,,ROANOKE,West Central
68,LLVA63303,QUALITY INN ROANOKE AIRPORT,ROANOKE,VA,24019,male,FALSE,FALSE,85,2018-11-26,FALSE,FALSE,0,2018-12-20,FALSE,FALSE,FALSE,0,0,24,LLVA63303,QUALITY INN ROANOKE AIRPORT,ROANOKE,VA,24019,,,,,ROANOKE,West Central
69,LLVA63471,TCTD INC.,ROANOKE,VA,24014,male,FALSE,FALSE,7600,2019-01-22,FALSE,FALSE,0,2019-01-22,FALSE,FALSE,FALSE,0,0,0,LLVA63471,TCTD INC.,ROANOKE,VA,24014,,,,,ROANOKE,West Central
70,LLVA58364,MERRYMAN GROUNDS MAINT INC.,HAMPTON,VA,23661,male,FALSE,FALSE,50,2015-07-31,TRUE,FALSE,54,2016-05-23,FALSE,TRUE,FALSE,0,0,297,LLVA58364,MERRYMAN GROUNDS MAINT INC.,HAMPTON,VA,23661,Other (provide detail in column to the right),Landscaping,,,HAMPTON,Hampton Roads
71,LLVA58906,"GRAPHIC MEMORY INTERNET SERVICES, INC",HAMPTON,VA,23669,female,FALSE,FALSE,445,2015-12-02,FALSE,FALSE,0,2016-01-29,FALSE,FALSE,FALSE,0,0,58,LLVA58906,"GRAPHIC MEMORY INTERNET SERVICES, INC",HAMPTON,VA,23669,Other (provide detail in column to the right),Web Design,,,HAMPTON,Hampton Roads
72,LLVA59035,CROWNE PLAZA HAMPTON MARINA,HAMPTON,VA,23669,female,FALSE,FALSE,1578.46,2016-01-06,FALSE,FALSE,0,2016-01-14,FALSE,FALSE,FALSE,0,0,8,LLVA59035,CROWNE PLAZA HAMPTON MARINA,HAMPTON,VA,23669,Hospitality,,,,HAMPTON,Hampton Roads
73,LLVA59038,TROPICAL SMOOTHIE,HAMPTON,VA,23669,female,FALSE,FALSE,87,2016-01-07,FALSE,FALSE,87,2016-01-11,FALSE,FALSE,FALSE,0,0,4,LLVA59038,TROPICAL SMOOTHIE,HAMPTON,VA,23669,Restaurant,,,,HAMPTON,Hampton Roads
74,LLVA59127,"ROCC'S HAULING, INC.",HAMPTON,VA,23663,male,FALSE,FALSE,144,2016-02-03,FALSE,FALSE,144,2016-02-18,FALSE,FALSE,FALSE,0,0,15,LLVA59127,"ROCC'S HAULING, INC.",HAMPTON,VA,23663,Transportation,,,,HAMPTON,Hampton Roads
75,LLVA59166,MLP,HAMPTON,VA,23605,male,FALSE,FALSE,420,2016-02-16,FALSE,FALSE,0,2016-02-16,FALSE,FALSE,FALSE,0,0,0,LLVA59166,MLP,HAMPTON,VA,23605,,,,,HAMPTON,Hampton Roads
76,LLVA59167,ALPHA COUNSELLORS SERVICE INC.,HAMPTON,VA,23666,female,FALSE,FALSE,1230,2016-02-16,FALSE,FALSE,0,2016-04-13,FALSE,FALSE,FALSE,0,0,57,LLVA59167,ALPHA COUNSELLORS SERVICE INC.,HAMPTON,VA,23666,,,,,HAMPTON,Hampton Roads
77,LLVA59444,HILTON GARDEN INN,HAMPTON,VA,23663,female,FALSE,FALSE,2349,2016-04-07,FALSE,FALSE,0,2016-04-07,FALSE,FALSE,FALSE,0,0,0,LLVA59444,HILTON GARDEN INN,HAMPTON,VA,23663,Hospitality,,,,HAMPTON,Hampton Roads
78,LLVA59474,QUEENS WAY SOUL CAFE,HAMPTON,VA,23666,male,FALSE,FALSE,0,2016-04-13,FALSE,FALSE,0,2016-04-13,FALSE,FALSE,FALSE,0,0,0,LLVA59474,QUEENS WAY SOUL CAFE,HAMPTON,VA,23666,Restaurant,,,,HAMPTON,Hampton Roads
79,LLVA59516,YAANG LLC,HAMPTON,VA,23661,,FALSE,FALSE,1728,2016-04-22,FALSE,FALSE,0,2016-04-22,FALSE,FALSE,FALSE,0,0,0,LLVA59516,YAANG LLC,HAMPTON,VA,23661,,,,,HAMPTON,Hampton Roads
80,LLVA59557,"ALPHA COUNSELORS SERVICES, INC",HAMPTON,VA,23666,female,FALSE,FALSE,90,2016-05-04,FALSE,FALSE,0,2016-05-04,FALSE,FALSE,FALSE,0,0,0,LLVA59557,"ALPHA COUNSELORS SERVICES, INC",HAMPTON,VA,23666,,,,,HAMPTON,Hampton Roads
81,LLVA59576,7-ELEVEN,HAMPTON,VA,23605,male,FALSE,FALSE,0,2016-05-09,FALSE,FALSE,0,2016-05-09,FALSE,FALSE,FALSE,0,0,0,LLVA59576,7-ELEVEN,HAMPTON,VA,23605,Retail,,,,HAMPTON,Hampton Roads
82,LLVA59596,HOME DEPOT,HAMPTON,VA,23666,male,FALSE,FALSE,2690,2016-05-17,FALSE,FALSE,0,2016-05-17,FALSE,FALSE,FALSE,0,0,0,LLVA59596,HOME DEPOT,HAMPTON,VA,23666,Retail,,,,HAMPTON,Hampton Roads
83,LLVA59614,B & E GROUP HOME,HAMPTON,VA,,female,FALSE,FALSE,0,2016-05-18,FALSE,FALSE,0,2016-05-18,FALSE,FALSE,FALSE,0,0,0,LLVA59614,B & E GROUP HOME,HAMPTON,VA,,,,,,HAMPTON,Hampton Roads
84,LLVA59617,THE ETHOS LEADERSHIP GROUP,HAMPTON,VA,23669,,FALSE,FALSE,1204.5,2016-05-20,FALSE,FALSE,0,2016-06-01,FALSE,FALSE,FALSE,0,0,12,LLVA59617,THE ETHOS LEADERSHIP GROUP,HAMPTON,VA,23669,,,,,HAMPTON,Hampton Roads
85,LLVA59637,SALON 10 HAMPTON,HAMPTON,VA,23666,female,FALSE,FALSE,320,2016-05-20,FALSE,FALSE,0,2016-05-20,FALSE,FALSE,FALSE,0,0,0,LLVA59637,SALON 10 HAMPTON,HAMPTON,VA,23666,,,,,HAMPTON,Hampton Roads
86,LLVA59652,"UNITED & EMPOWERED CARE, INC.",HAMPTON,VA,23666,,FALSE,FALSE,3515.88,2016-05-26,FALSE,FALSE,0,2016-05-26,FALSE,FALSE,FALSE,0,0,0,LLVA59652,"UNITED & EMPOWERED CARE, INC.",HAMPTON,VA,23666,,,,,HAMPTON,Hampton Roads
87,LLVA59694,SONIC DRIVE IN,HAMPTON,VA,23666,male,FALSE,FALSE,0,2016-06-01,FALSE,FALSE,0,2016-06-01,FALSE,FALSE,FALSE,0,0,0,LLVA59694,SONIC DRIVE IN,HAMPTON,VA,23666,,,,,HAMPTON,Hampton Roads
