CLAIM NO,COMPLAINT,ROUTINE,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,gender,hispanic,asian,CLAIM AMT,CASE OPEN/RE-OPEN,CLAIM RECEIVED,Valid,Informal Resolution,Bankrupt,Invalid,Fringe Benefits,Independent Agent,Subcontractor,False Claim,Other,CLAIM INVAL OTHER DESCRIPTION,Claim Validity,Employer left State,Employer Cannot be Located,Complainant Cannot be Located,Complainant Dropped Claim,Paid Prior to Investigation,Business is Closed,Other_1,CLAIM UNDETERMINED OTHER DESCRIPTION,VERIFIED CLAIM AMT,CASE CLOSE/RECLOSE DATE,Employer Contested Valid Determination,1st Response Investigation,Formal Investigation,Request Settlement Conference,Request Informal Fact Finding,Request Formal Fact Finding,Wage Order,Informal Conference,Civil Action for Wages/Penalties,Other_2,OTHER DISPOSITION DESCRIPTION,CASE CLOSED for the REPRESENTATIVE,JUDGMENT,DISMISSED,NON-SUITED,JUDGMENT_1,DISMISSED_1,NON-SUITED_1,CIVCOURTDTE FOR WAGES/PENALTY,TOT AMT,WAGE AMT,INTEREST AMT,ATTY FEES,DATE FOR WAGES,WAGES APPEALED,WAGES APPEAL CIRCUIT COURT DATE,ASSESSED,AMT,ATTY FEES_1,ASSESSED DATE,TOTAL CMP AMT,CMP APPEALED,CMP APPEAL CIRCUIT COURT DATE,FINES & COURT COSTS,TOTAL WAGES,TOTAL INTEREST AMT,TOT WAGES & INTEREST,GARNISHED AMT,JUDGMENT WAGE AMT,JUDGEMENT PENALTY AMT,DOCKETED/SENT FOR COLLECTION DATE,ACTION TAKEN,COURT DATE,CONVICTED - DISPOSITION,DISMISSED - DISPOSITION,NOL Prossed,CONFINEMENT,SUSPENSION,BOTH - C&F,JUDGMENT_2,DISMISSED_2,NON-SUITED_2,JUDGMENT_3,DISMISSED_3,NON-SUITED_3
LLVA59019,X,NA,CHILDRESS FAMILY TRUCKING,WYTHEVILLE,VA,24382,male,FALSE,FALSE,$456.00,30-Dec-15,23-Dec-15,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$444.00,11-Jan-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,11-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$444.00,$0.00,$444.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59020,X,NA,ARI PHOENIX,MANASSAS,VA,20109,male,FALSE,FALSE,"$14,511.74",30-Dec-15,28-Dec-15,NA,NA,NA,X,NA,NA,NA,NA,X,WORK PERFORMED OUTSIDE OF VA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,12-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59021,X,NA,CAREFIRST HEALTHCARE,FALLS CHURCH,VA,22044,female,FALSE,FALSE,"$2,076.96",30-Dec-15,28-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,NA,NA,NA,NA,NA,$0.00,4-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,4-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59024,X,NA,"ENGLISH BODY WORKS, INC.",RICHMOND,VA,23236,male,FALSE,FALSE,"$1,000.00",31-Dec-15,30-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$400.00,11-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$400.00,$0.00,$400.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59025,X,NA,RED ROSE BANQUET AND EVENT CENTER,MANASSAS,VA,20111,NA,TRUE,FALSE,"$1,411.00",31-Dec-15,30-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$750.00,20-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$750.00,$0.00,$750.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59030,X,NA,CICI'S PIZZA,CHARLOTTESVILLE,VA,22901,female,FALSE,FALSE,$88.16,31-Dec-15,28-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$92.00,22-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,22-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$92.00,$0.00,$92.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59031,X,NA,"BRANE-STROM, LLC",MIDDLEBURG,VA,20117,male,FALSE,FALSE,"$6,400.00",31-Dec-15,16-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$4,000.00",17-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,17-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,"$4,000.00",$0.00,"$4,000.00",$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59034,X,NA,"PHELPS LLC, AND LATOYA PHELPS-CORBIN, INDIVIDUALLY",VIRGINIA BEACH,VA,23462,female,FALSE,FALSE,"$3,000.00",6-Jan-16,9-Dec-15,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$2,385.00",6-Dec-17,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,9-Feb-16,NA,NA,NA,NA,NA,NA,NA,"$3,180.00","$2,385.00",$0.00,$795.00,2-May-16,NA,NA,X,$600.00,$200.00,2-May-16,$800.00,NA,NA,$995.00,"$2,384.99",$417.15,"$2,802.14",$0.00,"$2,802.14",$678.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59035,X,NA,CROWNE PLAZA HAMPTON MARINA,HAMPTON,VA,23669,female,FALSE,FALSE,"$1,578.46",6-Jan-16,6-Jan-16,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59037,X,NA,COLONIAL RESEARCH AND CONSULTING,WILLIAMSBURG,VA,23185,female,FALSE,FALSE,"$2,296.40",6-Jan-16,6-Jan-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,905.00",2-Feb-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,2-Feb-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59038,X,NA,TROPICAL SMOOTHIE,HAMPTON,VA,23669,female,FALSE,FALSE,$87.00,7-Jan-16,6-Jan-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$87.00,11-Jan-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jan-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$87.00,$0.00,$87.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
